trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1754,False,"{'a': 0.4, 'e': 0.12300000000005473}",20,6,27.45374500660134,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1755,False,"{'a': 0.4, 'e': 0.12250000000005473}",20,0,21.219854025023217,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1756,False,"{'a': 0.4, 'e': 0.12200000000005473}",20,0,4.4552130261464775,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1757,False,"{'a': 0.4, 'e': 0.12150000000005473}",30,16,14.917716242367817,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1758,False,"{'a': 0.4, 'e': 0.12100000000005473}",25,11,-26.10795639482989,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
1759,False,"{'a': 0.4, 'e': 0.12050000000005473}",20,13,14.71210643840773,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1760,False,"{'a': 0.4, 'e': 0.12000000000005473}",30,14,16.601970358577415,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
1761,False,"{'a': 0.4, 'e': 0.11950000000005473}",20,10,15.392950640455563,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1762,False,"{'a': 0.4, 'e': 0.11900000000005473}",30,17,25.89260024745203,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1763,False,"{'a': 0.4, 'e': 0.11850000000005473}",20,12,15.70238496632905,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1764,False,"{'a': 0.4, 'e': 0.11800000000005473}",20,3,-39.196731788837255,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
1765,False,"{'a': 0.4, 'e': 0.11750000000005473}",20,6,23.378455668143253,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1766,False,"{'a': 0.4, 'e': 0.11700000000005473}",20,7,24.19360689434502,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1767,False,"{'a': 0.4, 'e': 0.11650000000005473}",30,16,17.375809986807056,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1768,False,"{'a': 0.4, 'e': 0.11600000000005473}",20,8,24.598111474052043,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1769,False,"{'a': 0.4, 'e': 0.11550000000005473}",20,12,16.767151019458968,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1770,False,"{'a': 0.4, 'e': 0.11500000000005473}",20,9,-41.01892560365377,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
1771,False,"{'a': 0.4, 'e': 0.11450000000005472}",20,13,12.533317524130599,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1772,False,"{'a': 0.4, 'e': 0.11400000000005472}",25,6,7.24904107607897,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
1773,False,"{'a': 0.4, 'e': 0.11350000000005472}",20,1,-8.054664860789835,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 0}",1
1774,False,"{'a': 0.4, 'e': 0.11300000000005472}",20,6,17.00680090652099,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1775,False,"{'a': 0.4, 'e': 0.11250000000005472}",30,15,21.42531407700487,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1776,False,"{'a': 0.4, 'e': 0.11200000000005472}",20,9,-43.28651920585209,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
1777,False,"{'a': 0.4, 'e': 0.11150000000005472}",30,17,9.957324984332857,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1778,False,"{'a': 0.4, 'e': 0.11100000000005472}",30,4,41.633930174708006,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
1779,False,"{'a': 0.4, 'e': 0.11050000000005472}",30,18,24.267387066270064,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1780,False,"{'a': 0.4, 'e': 0.11000000000005472}",25,14,19.557858024079955,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1781,False,"{'a': 0.4, 'e': 0.10950000000005472}",30,6,37.73105241064794,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
1782,False,"{'a': 0.4, 'e': 0.10900000000005472}",25,7,-23.629274951739813,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
1783,False,"{'a': 0.4, 'e': 0.10850000000005472}",25,11,-16.24336963183832,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
1784,False,"{'a': 0.4, 'e': 0.10800000000005472}",20,10,19.257157279970016,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1785,False,"{'a': 0.4, 'e': 0.10750000000005472}",20,8,-30.967575101249103,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
1786,False,"{'a': 0.4, 'e': 0.10700000000005472}",25,12,13.950832003147681,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1787,False,"{'a': 0.4, 'e': 0.10650000000005472}",25,6,29.24960949884437,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1788,False,"{'a': 0.4, 'e': 0.10600000000005472}",20,9,20.7768312845305,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1789,False,"{'a': 0.4, 'e': 0.10550000000005472}",25,8,26.93121646763848,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1790,False,"{'a': 0.4, 'e': 0.10500000000005472}",20,0,31.3138515812575,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1791,False,"{'a': 0.4, 'e': 0.10450000000005472}",20,12,18.69064306828093,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1792,False,"{'a': 0.4, 'e': 0.10400000000005472}",20,12,15.680575506726857,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1793,False,"{'a': 0.4, 'e': 0.10350000000005471}",20,14,4.021110039186938,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
1794,False,"{'a': 0.4, 'e': 0.10300000000005471}",20,7,26.061835770639554,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1795,False,"{'a': 0.4, 'e': 0.10250000000005471}",20,9,11.059264543873642,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1796,False,"{'a': 0.4, 'e': 0.10200000000005471}",35,21,12.655991775985374,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1797,False,"{'a': 0.4, 'e': 0.10150000000005471}",20,8,-31.320755354194187,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
1798,False,"{'a': 0.4, 'e': 0.10100000000005471}",30,16,7.983500013330252,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
1799,False,"{'a': 0.4, 'e': 0.10050000000005471}",20,12,14.112975790631443,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1800,False,"{'a': 0.4, 'e': 0.10000000000005471}",25,16,13.945049059274204,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1801,False,"{'a': 0.4, 'e': 0.09950000000005471}",25,14,7.648395964810524,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1802,False,"{'a': 0.4, 'e': 0.09900000000005471}",25,14,19.513577915152975,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1803,False,"{'a': 0.4, 'e': 0.09850000000005471}",30,20,18.566940708834323,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1804,False,"{'a': 0.4, 'e': 0.09800000000005471}",25,1,20.520438743591313,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
1805,False,"{'a': 0.4, 'e': 0.09750000000005471}",25,10,-23.72019523264999,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
1806,False,"{'a': 0.4, 'e': 0.09700000000005471}",20,0,-25.926136418626687,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
1807,False,"{'a': 0.4, 'e': 0.09650000000005471}",20,16,6.499270942295702,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1808,False,"{'a': 0.4, 'e': 0.09600000000005471}",25,15,18.569874065350245,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1809,False,"{'a': 0.4, 'e': 0.09550000000005471}",25,14,7.1677288344977015,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1810,False,"{'a': 0.4, 'e': 0.09500000000005471}",25,20,10.97653334577289,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1811,False,"{'a': 0.4, 'e': 0.0945000000000547}",30,7,39.10825520142293,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
